nom_servico,cod_servico,dsc_poder,nom_orgao,dsc_servico,dsc_solicitante,dsc_prazo_entrega,dsc_servico_gratuito,dsc_doc_necessarios,dsc_etapas_atendimento,dsc_tempo_atendimento_priori,dsc_endereco,dsc_tempo_atendiment,dsc_horario_atendimento,nom_unidade_prestadora,nom_area_responsavel,dsc_servico_digital,publico_alvo,dsc_legislacao,dsc_requisitos
assessoria ao ppa  plano pluri anual,324,executivo estadual,instituto de pesquisa e estratégia econômica do ceará,auxilia nas informações socioeconômicas para a elaboração do ppa - plano pluri anual. gerar subsídios para as políticas públicas criadas para o ppa.,Vazio,Vazio,não,Vazio,"solicitação por escrito, convênios.",Vazio,Vazio,depende do tempo necessário por parte do òrgão solicitante.,8:00h às 12:00h e 13:00h às 17:00h,Vazio,Vazio,parcialmente digital,interno,Vazio,"solicitação por ofício, convênios."
medalha do mérito funcional e prêmio do mérito funcional,358,executivo estadual,escola de gestao publica do estado do ceara,"a medalha do mérito funcional é uma homenagem aos servidores e empregados públicos, em exercício nos órgãos/entidades que compõem o poder executivo estadual, que através de dedicação e eficiência, que se destacaram na realização de suas funções específicas, mediante o desenvolvimento de uma ação inovadora, visando a melhoria constante da qualidade dos serviços prestados ao cidadão. o prêmio do mérito funcional é um prêmio concedido ao servidor/empregado público agraciado com a medalha do mérito funcional.",Vazio,Vazio,não,Vazio,i - reunião do gtdep para composição da comissão coordenadora. ii - divulgação do processo para seleção. iii - publicização da comissão coordenadora. iv - constituição da comissão setorial em cada órgão/entidade do poder executivo estadual. v - divulgação e realização das inscrições. vi - reunião das comissões setoriais. vii - reunião da comissão mista. viii - reunião da comissão coordenadora. ix - homologação do resultado pelo chefe do poder executivo estadual. x - lançamento da data do doe contendo o ato de elogio do chefe do poder executivo estadual para inclusão na folha de pagamento.,Vazio,Vazio,início do processo: julho. término do processo: outubro.,segunda a sexta das 08 às 12 e das 13 às 17 horas.,Vazio,Vazio,parcialmente digital,interno,Vazio,"1. medalha: - ser servidor/empregado público em efetivo exercício, por um período mínimo de 12 (doze) meses, no órgão/entidade em que esteja operacionalizando a ação inovadora. - apresentar uma ação que esteja sendo implementada a, no mínimo, 12 (doze) meses e, no máximo, 24 (vinte e quatro) meses. - preencher formulário de inscrição descrevendo a ação inovadora (consultar lei. 14.460 do diário oficial do estado de 06/10/2009, decreto 29.936 do diário oficial do estado de 15/10/2009 e instrução normativa no. 01/2009 do diário oficial do estado de 16/10/2009). 2. prêmio: - publicação no doe do ato de elogio individual a ser referendado pelo chefe do poder executivo estadual, no qual conterá o nome e a ação motivadora da concessão da medalha do mérito funcional."
programa qualidade de vida  ações sócioculturais sensibilização e conscientização destinadas ao servidorempregado público,355,executivo estadual,escola de gestao publica do estado do ceara,"promover ações integradas e sistemáticas, que estimulem e facilitem o processo de mudanças no ambiente de trabalho e no estilo de vida, favorecendo a melhoria da qualidade de vida do servidor/ empregado publico estadual. nas atividades regulares, busca-se contemplar atividades físicas e socioculturais dentre elas coral, ginástica laboral e karatê. como destaque, de eventos especiais, têm-se as comemorações de datas importantes e a semana do servidor, além da realização de palestras e oficinas com temas pertinentes a uma vida saudável.",Vazio,Vazio,não,Vazio,"- divulgação contendo todas as informações da atividade que será realizada para os servidores/empregados do órgão, de acordo com o cronograma estabelecido pela área de gestão de pessoas: rh ou grupo técnico de gestão de desenvolvimento de pessoas – gtdep. - inscrição deverá ser encaminhada pela área de gestão de pessoas: rh ou gtdep, fornecendo os seguintes dados do intreressado: nome completo sem abreviatura, nº do cpf, matrícula, e-mail (de preferência o institucional) e telefone para contato. -no ato da atividade, o participante deverá assinar a frequência, como forma de registro da sua participação. assim, na última semana de cada mês, o responsável pela atividade encaminhará, para a célula de educação de presencial - cedup/ egpce, a frequência dos participantes referente ao mês ocorrido, juntamente com as observações pontuais.",Vazio,Vazio,15 dias a partir da data de divulgação.,"segunda à sexta, das 08h às 12h e das 13h às 17h.",Vazio,Vazio,parcialmente digital,interno,Vazio,- ser funcionário/empregado público do poder executivo estadual em pleno exercício de suas atividades funcionais* - o interessado deverá ter autorização do chefe imediato* - a inscrição deverá ser realizada pela área de gestão de pessoas.
bolsasdescontos em cursos de graduação para servidoresempregados públicos e seus dependentes,354,executivo estadual,escola de gestao publica do estado do ceara,oportunizar o acesso ao ensino superior mediante termo de cooperação técnica com instituições de ensino superior (unifor e ffb).,Vazio,Vazio,não,Vazio,"comparecer à instituição de ensino superior cooperada, munido dos documentos necessários e solicitar o benefício. as referidas instituições podem ser encontradas no link: http://www.egp.ce.gov.br/index.php/graduacao-e-pos-graduacao.",Vazio,Vazio,"imediato à solicitação, se o servidor perfizer todos os requisitos.","segunda-feira à sexta-feira, das 8:00h às 12:00h e das 13:00h às 17:00h.",Vazio,Vazio,parcialmente digital,interno,Vazio,"requisito:  ser servidor/empregado público estadual, ou ser dependente deste* ingressar em instituição de ensino superior atarvés dos variados tipos de processos seletivos e a mesma ser conveniada.     2. documentos: cópia do último contra-cheque do servidor/empregado* documento que comprove a relação de dependência, em se tratando de dependentes."
eventos de formação presencial para o servidor  empregado público,356,executivo estadual,escola de gestao publica do estado do ceara,"oferta de ações educacionais de capacitação/formação, na modalidade presencial, com foco no desenvolvimento das competências técnicas e humanas, assim como as associadas ao desempenho no cargo, função ou atividades da administração pública, vinculadas aos objetivos e estratégias organizacionais.",Vazio,Vazio,não,Vazio,"- divulgação da capacitação/formação será realizada mediante envio de e-mail destinado ao gtdep ou ao rh, contendo o banner, a ficha técnica e a ficha de inscrição do(s) curso(s) ofertado(s). - após esse encaminnhamento, o gtdep ou o rh responsabiliza-se pela divulgação do(s) curso(s) ofertado(s), em cada órgão ou entidade. o servidor, ao receber a divulgação com o material referido acima, se interessado em participar, deve seguir os procedimentos de inscrição:  para órgãos e entidades já cadastrados no capacit – enviar a ficha de inscrição digitada para o gtdep ou o rh. o responsável dessa área fará a pré-inscrição no capacit e a egpce, por meio do e-mail inscricao.nedgov@egp.ce.gov.br, confirmará a inscrição, enviando mensagem para o gtdep ou o rh e para o servidor.  para órgãos e entidades não cadastrados no capacit – enviar pelo e-mail institucional a ficha de inscrição digitada para o e-mail inscricao.presencial@egp.ce.gov.br.  - a confirmação da inscrição será enviada eletronicamente pelo o e-mail: inscricao.presencial@egp.ce.gov.br, realizada até um dia útil antes do início do curso.",Vazio,Vazio,de 15 a 30 dias a partir da data de divulgação.,"segunda à sexta, das 08h às 12h e das 13h às 17h.",Vazio,Vazio,parcialmente digital,interno,Vazio,"- ser servidor / empregado público do poder executivo estadual e/ou municipal, em pleno exercício de suas atividades funcionais* -estar dentro do público-alvo para o qual o curso foi direcionado* - seguir os procedimentos de inscrição:  para órgãos e entidades já cadastrados no capacit – enviar a ficha de inscrição digitada para a área de gestão de pessoas: rh ou grupo técnico de gestão de desenvolvimento de pessoas – gtdep.  para órgãos e entidades não cadastrados no capacit – enviar a ficha de inscrição digitada para o e-mail: inscricao.presencial@egp.ce.gov.br  informações: - site da egp (www.egp.ce.gov.br)"
psicologia fonoaudiologia e fisioterapia  capital e interior,346,executivo estadual,instituto de saúde dos servidores do estado do ceará,"atendimento realizado aos usuários do issec, por profissionais ou entidades da rede credenciada.  autorizar os tratamentos de psicologia, fonoaudiologia e fisioterapia, bem como a liberação de cada sessão por meio da web/biometria segunda feira à sábado conforme horário de atendimento da clinica credenciada ou pelo teleatendimento, segunda feira à sexta feira, no horário de 8hs às 17hs nos telefones (85) 3101-4901* (85) 3101-4902* (85) 3101-4903* (85) 3101-4823, (85) 3101-4888* com a presença do usuário no ato do atendimento e na data agendada pelo credenciado de sua escolha.",,psicologia – o pedido de solicitação do médico tem 180 dias de validade  fonoaudióloga e fisioterapia - o pedido de solicitação do médico tem 90 dias de validade,sim,cartão saúde issec e documento oficial com foto,"1. o usuário dirige-se ao credenciado de sua escolha com o cartão saúde issec válido * 2. apresentar carteira de identidade (rg) ou documento oficial com foto* 3. apresentar guia de serviço ii (solicitação médica) devidamente preenchida, com a senha da consulta já realizada através da rede credenciada* 4. o credenciado solicita autorização para os tratamento de psicologia, fonoaudiologia e fisioterapia por meio da web/biometria de segunda feira à sábado, conforme horário de atendimento da clinica credeciada ou central de teleatendimento, segunda feira à sexta feira, no horário de 8hs às 17hs nos telefones (85) 3101-4901* (85) 3101-4902* (85) 3101-4903*(85) 3101-4823 (85) 3101-4888* 5. o issec disponibiliza para o tratamento de fisioterapia* 120 (cento e vinte ) sessões no período de 01 (um) ano, 10 (dez) sessões ao mês e 07 (sete) sessões por semana* para o tratamento de fonoaudiologia o issec disponibiliza 48 (quarenta e oito) sessões no período de 01 (um ano)* 8 (oito) sessões ao mês e 02 (duas) sessões por semana* para o tratamento de psicologia o issec disponibiliza 48 (quarenta e oito) sessões no período de 01 (um ano)* 4 (quatro) sessões ao mês e 01 (uma) sessão por semana. 6. a validade para a guia de serviço ii psicologia é de 180 dias após a solicitação médica* para guia de serviço ii fisioterapia e fonoaudiologia a validade é de 90 dias após a solicitação médica. 7. na ausência de um psiquiatra, um clinico geral, neurologista, pediatra ou obstétrica podem solicitar o acompanhamento com o psicológo. 8. para o acesso a informação da rede credenciada o usuário utiliza o guia saúde issec no link http://autoriza.issec.ce.gov.br/guia_medico_issec/ ou entra em contato com a central de informações* nos telefones (85) 3101-4901* (85) 3101-4902* (85) 3101-4903* (85) 3101-4823* (85) 3101-4888* site do issec http://www.issec.ce.gov.br/",Vazio,"rede credenciada disponível no site do issec, através do guia saúde issec",tempo médio de 45 min por sessão.,"pelo teleatendimento, de segunda feira à sexta feira, no horário de 8hs às 17hs nos telefones (85) 3101-4901* (85) 3101-4902* (85) 3101-4903*85) 3101-4823*(85) 3101-4888 ou",gerência de credenciamento,diretoria técnica de saúde,parcialmente digital,externo,Vazio,1. portar cartão saúde issec válido*  2. apresentar carteira de identidade (rg) ou documento oficial com foto*  3. guia de serviço ii (solicitação médica) devidamente preenchida*  4. presença do usuário no ato do atendimento*  5. crianças até 7 anos de idade ou pessoas acima de 60 anos são isentos da biometria.
hospedagem de aplicações no mainframe,344,executivo estadual,empresa de tecnologia da informação do ceará,"o serviço de hospedagem de aplicações no mainframe possibilita, ao órgão/entidade do governo, o processamento de seus sistemas em ambiente de plataforma alta, no datacenter da etice, contemplando a disponibilidade do equipamento, a infraestrutura de recursos e mão de obra e a gestão do processo. estão hospedados neste ambiente os sistemas corporativos folha de pagamento, sistema de contabilidade (sic), sistema de veículos(detran), sistema de protocolo único(spu) e pequeno produtor(sda). disponibilizar a hospedagem no mainframe das aplicações dos órgãos/entidades do governo.",Vazio,Vazio,não,Vazio,"1. solicitar serviço através de ofício ou pela central de serviços da etice, via site, email ou telefone* 2. aguardar contato da central de serviços da etice com as informações sobre as providências necessárias ao atendimento* 3. realizar os testes de disponibilidade e homologar o serviço, juntamente com a equipe da etice. após a conclusão, o serviço será aprovado e autorizado o início da operação.",Vazio,Vazio,1 dia,8:00h às 12:00h e 13:00h às 17:00h,Vazio,Vazio,parcialmente digital,interno,Vazio,"1. registro da solicitação na central de serviços da etice, via site ou telefone ou email, ou solicitação do serviço via ofício. 2. caso o cliente ainda não seja usuário do sistema da central de serviços da etice, solicita ao gestor de ti de sua unidade o cadastro na central de serviços da etice e o mesmo deverá fornecer por email , os seguintes dados: cpf, nome, órgão/entidade e telefone para contato."
salinidade em água,8206,executivo estadual,fundação núcleo de tecnologia industrial do ceará,determinação da quantidade de sais dissolvidos nas águas dos lagos e reservatórios.,,7 dias úteis.,nãoconsultar núcleo central de atendimento ao cliente,cpf para clientes pessoa física. cnpj para clientes pessoa jurídica.,"1.o cliente solicita o serviço de forma presencial ou por email (cac@nutec.ce.gov.br) através do núcleo central de atendimento ao cliente (nucac)* 2. o nucac gera a solicitação de serviço e a encaminha ao núcleo de química (nuqui)* 3. o nuqui recebe solicitação, analisa a viabilidade de execução do serviço, elabora uma proposta de serviço contendo o valor, prazo e condições do serviço através do sistema de gestão integrado (sigi) da instituição* 4. o nucac acessa a proposta de serviços elaborada através do sigi e a envia ao cliente através do e-mail cadastrado* 5. o cliente avalia a proposta de serviço e formaliza o seu aceite junto ao nucac através da assinatura na proposta* 6. o nucac recebe o aceite e envia o dae (documento de arrecadação estadual) ao cliente para pagamento do serviço* 7. após a confirmação do pagamento e recebimento das amostras, o nucac gera processo de autorização e encaminha as amostras ao nuqui* 8. o nuqui recebe a(s) amostra(s) junto à sua solicitação e executa o(s) serviço(s) das mesmas* 9. após a realização do(s) serviço(s) o nuqui emite o(s) relatório(s) de ensaio(s) e encaminha o(s) mesmo(s) ao nucac* 10. o nucac solicita a emissão de nota fiscal ao núcleo de contabilidade e finanças (nucof)* 11. o nucac entra em contato com o cliente para informar que o(s) relatório(s) de ensaio(s) está(ão) disponíveis para entrega de forma presencial*",7 dias úteis.,rua professor rômulo proença s/n - campus do pici - fortaleza -ce,7 dias úteis.,"de segunda à sexta, de 08:00 às 12:00 horas e 13:00 às 17:00 horas (entrega de amostra: 08:00 às 11:00h e 13:00 às 16:00h).",gerência de tecnologia de alimentos e química,diretoria de tecnologia e inovação,não,externo,Vazio,"o cidadão usuário deve trazer em um frasco de plástico ou vidro, dois (02) litros de água coletados num prazo máximo de vinte e quatro horas (24h). a amostra deve estar acondicionada ao gelo, para não perder suas características físico-químicas, deve-se também informar a sua procedência. todas essas informações deverão ser passadas no ato da entrega da amostra na central de atendimento ao cliente (cac)."
financiamento de cursos de pósgraduação especialização mestrado doutorado e pósdoutorado,352,executivo estadual,escola de gestao publica do estado do ceara,"emitir parecer técnico/jurídico, observando a regularidade da instrução processual conforme a legislação vigente: lei nº 14.367, de 10/06/2009 (doe 12/06/2009)* decreto nº 29.986, de 01/12/2009 (doe de 02/12/2009)* instrução normativa nº 004/2010 (doe 27/04/2010)* decreto nº 32.163, 02 de março de 2017 (doe 06/03/2017).",Vazio,Vazio,não,Vazio,"o servidor/militar/empregado público deve: abrir processo no protocolo (órgão/entidade de origem ou de exercício). a área de gestão de pessoas: fornece as informações da vida funcional, quadro de tempo de serviço e elabora a portaria. a unidade administrativo-financeira: declara a disponibilidade de recursos para esse fim. a assessoria jurídica: analisa e dar parecer. o titular da pasta: referenda a portaria e encaminha à escola de gestão pública do estado do ceará - egpce. a assessoria jurídica da egpce: analisa e encaminha a portaria à casa civil, para publicação.",Vazio,Vazio,até 10 dias úteis a contar da entrada do processo na escola de gestão pública do estado do ceará - egpce.,"de segunda-feira à sexta-feira, das 8:00h às 12:00h e das 13:00h às 17:00h.",Vazio,Vazio,parcialmente digital,interno,Vazio,"requisito: ser servidor/militar/empregado público ocupante de cargo/função/emprego público. documentos: comprovante de admissão em curso de pós-graduação* cópia do contrato de prestação de serviços com a instituição de ensino superior - ies* declaração, por parte do beneficiário do financiamento, de conhecimento e concordância com os termos da instrução normativa n. 004/2010* comprovante de pagamento das mensalidades efetuadas* declaração de assiduidade emitida pelo coordenador do curso, se iniciado há mais de 6 meses* declaração de não ser beneficiário de qualquer incentivo ou qualquer tipo de bolsa de estudo para fins de pós-graduação* dotação orçamentária (órgão/entidade de origem ou de exercício)* parecer jurídico (órgão/entidade de origem ou de exercício)."
conexão à gigafor e ao cinturão digital do ceará cdc  configuração de switches dwdm,343,executivo estadual,empresa de tecnologia da informação do ceará,"o cdc (cinturão digital do ceará) e a gigafor (rede metropolitana de fortaleza) consistem em uma rede pública de banda larga de alta velocidade que possibilitam a interligação dos órgãos/entidades governamentais. a gigafor atende à fortaleza e o cdc à região metropolitana e ao interior do estado. o cdc/gigafor permitem a troca de dados, voz e internet com grande velocidade e o uso de aplicações avançadas, tais como telemedicina, educação a distância, tv digital, videoconferência e outros serviços essenciais para o desenvolvimento do estado. realizar a configuração dos switches dwdm da rede gigafor e cinturão digital para conexão dos órgãos/entidades do governo.",Vazio,Vazio,não,Vazio,"1. solicitar serviço através de ofício ou pela central de serviços da etice, via site, email ou telefone* 2. informar o ponto que será ativado, especificando endereço, contato, responsável local e telefone* 3. aguardar contato da central de serviços da etice para realização da vistoria da infraestrutura e execução das conexões nos transponders, conforme documentação da empresa padtec, caso tenham sido atendidas as exigências preestabelecidas no checklist enviado ao órgão/entidade. 4. realizar os testes e homologar o serviço, juntamente com a equipe da etice. após a conclusão, o serviço será aprovado e autorizado o início da operação.",Vazio,Vazio,1 semana,8:00h às 12:00h e 13:00h às 17:00h,Vazio,Vazio,parcialmente digital,interno,Vazio,"1. registro da solicitação na central de serviços da etice, via site ou telefone ou email, ou solicitação do serviço via ofício. 2. caso o cliente ainda não seja usuário do sistema da central de serviços da etice, solicita ao gestor de ti de sua unidade o cadastro na central de serviços da etice e o mesmo deverá fornecer por email , os seguintes dados: cpf, nome, órgão/entidade e telefone para contato. 3. formulário de checklist preenchido* 4. diagrama de conexão do dwdm."
